Identificador,Centro_x,Centro_y,Raio
C1,70,667,102
C2,100,590,35
C3,109,709,114
C4,200,737,124
C5,299,695,120
C6,379,523,70
C7,387,604,124
C8,408,698,198
C9,625,678,197
C10,645,551,95
C11,1025,666,237
C12,1047,542,166
C13,1111,519,127
C14,1287,705,114
C15,1384,1024,435
C16,1487,631,76
S1,484,125,19
S2,529,125,37
S3,552,79,14
S4,564,90,25
S5,562,120,47
S6,581,77,13
S7,587,125,39
P11,37,548,10
P12,50,544,11
P13,51,563,19
P21,659,456,18
P22,659,437,9
P23,672,444,9
P31,1010,373,16
P32,1002,362,
P33,1015,363,8
P41,1302,589,17
P42,1293,576,8
P43,1309,576,8
